Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6908.50, 34.7, 187.4, 0.0
0, Eco1102, 62270, 6861.47, 64.3, 207.0, 0.0
0, Eco1133, 2042, 8333.12, 334.5, 205.6, 0.0
0, Eco1226, 20029, 8141.16, 163.8, 248.1, 0.0
0, Eco1441, 3597, 7742.04, 262.6, 227.5, 0.0
0, Eco2072, 474, 6520.61, 236.0, 165.0, 0.0
0, Eco2102, 25182, 6485.54, 111.9, 192.0, 0.0
0, Eco2133, 62492, 6939.82, 57.9, 179.8, 0.0
0, Eco2226, 140769, 7478.49, 33.7, 202.4, 0.0
0, Eco2441, 13252, 8293.93, 194.3, 226.3, 0.0
0, Eco3036, 4122, 5327.90, 180.7, 159.2, 0.0
0, Eco3072, 7998, 6111.02, 180.5, 187.8, 0.0
0, Eco3102, 2702, 6615.77, 243.8, 196.8, 0.0
0, Eco3226, 63089, 7901.98, 67.7, 227.1, 0.0
0, Eco3441, 12813, 9241.82, 192.6, 266.5, 0.0
0, Eco4036, 10187, 4427.58, 102.0, 141.0, 0.0
0, Eco4072, 8627, 6020.29, 164.7, 174.0, 0.0
0, Eco4102, 10771, 6707.64, 163.4, 192.4, 0.0
0, Eco4133, 2167, 7494.98, 253.5, 198.2, 0.0
0, Eco4226, 50645, 7361.03, 71.3, 211.5, 0.0
0, Eco4441, 11394, 8358.18, 195.4, 252.9, 0.0
0, Eco5036, 518, 5057.29, 180.4, 158.2, 0.0
0, Eco5102, 1704, 7331.76, 258.5, 209.9, 0.0
0, Eco5133, 2095, 6189.70, 228.9, 178.4, 0.0
0, Eco5226, 79038, 7428.38, 51.2, 202.0, 0.0
0, Eco5441, 24346, 8158.27, 130.7, 246.7, 0.0
0, Eco6036, 416, 4381.81, 139.9, 113.4, 0.0
0, Eco6133, 718, 6811.33, 246.0, 172.3, 0.0
0, Eco6226, 14221, 7227.55, 146.8, 191.3, 0.0
0, Eco6441, 112, 7713.83, 326.6, 179.7, 0.0
0, Eco7133, 1393, 7216.57, 245.0, 165.1, 0.0
0, Eco7226, 46751, 7467.31, 83.9, 209.4, 0.0
0, Eco7441, 8369, 8230.65, 236.1, 248.7, 0.0
5, Eco1072, 115584, 8182.17, 463.9, 199.8, 0.0
5, Eco1102, 62270, 8123.33, 448.3, 200.1, 0.0
5, Eco1133, 2042, 9734.67, 564.4, 231.7, 0.0
5, Eco1226, 20029, 9663.03, 537.1, 241.9, 0.0
5, Eco1441, 3597, 9234.76, 506.5, 243.6, 0.0
5, Eco2072, 474, 7657.58, 461.6, 179.6, 0.0
5, Eco2102, 25182, 7600.61, 416.7, 161.6, 0.0
5, Eco2133, 62492, 8125.52, 487.7, 183.9, 0.0
5, Eco2226, 140769, 8782.62, 489.1, 193.5, 0.0
5, Eco2441, 13252, 9666.25, 542.0, 229.8, 0.0
5, Eco3036, 4122, 6303.81, 366.1, 161.3, 0.0
5, Eco3072, 7998, 7275.60, 412.8, 174.7, 0.0
