Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6886.37, 34.7, 188.5, 0.0
0, Eco1102, 62270, 6909.76, 64.3, 204.7, 0.0
0, Eco1133, 2042, 8287.60, 334.5, 209.3, 0.0
0, Eco1226, 20029, 8292.34, 163.8, 241.7, 0.0
0, Eco1441, 3597, 7717.23, 262.6, 228.7, 0.0
0, Eco2072, 474, 6514.83, 236.0, 164.6, 0.0
0, Eco2102, 25182, 6485.77, 111.9, 192.6, 0.0
0, Eco2133, 62492, 6925.29, 57.9, 180.5, 0.0
0, Eco2226, 140769, 7487.11, 33.7, 201.9, 0.0
0, Eco2441, 13252, 8301.66, 194.3, 225.7, 0.0
0, Eco3036, 4122, 5281.64, 180.7, 163.5, 0.0
0, Eco3072, 7998, 6101.76, 180.5, 188.1, 0.0
0, Eco3102, 2702, 6621.52, 243.8, 195.4, 0.0
0, Eco3226, 63089, 7892.11, 67.7, 227.3, 0.0
0, Eco3441, 12813, 9248.88, 192.6, 265.6, 0.0
0, Eco4036, 10187, 4403.19, 102.0, 143.3, 0.0
0, Eco4072, 8627, 6019.81, 164.7, 174.1, 0.0
0, Eco4102, 10771, 6711.30, 163.4, 191.2, 0.0
0, Eco4133, 2167, 7480.29, 253.5, 198.1, 0.0
0, Eco4226, 50645, 7386.39, 71.3, 210.2, 0.0
0, Eco4441, 11394, 8389.82, 195.4, 251.2, 0.0
0, Eco5036, 518, 5230.17, 180.4, 140.5, 0.0
0, Eco5102, 1704, 7332.54, 258.5, 209.7, 0.0
0, Eco5133, 2095, 6285.06, 228.9, 176.3, 0.0
0, Eco5226, 79038, 7447.26, 51.2, 201.4, 0.0
0, Eco5441, 24346, 8162.21, 130.7, 246.5, 0.0
0, Eco6036, 416, 4378.18, 139.9, 115.6, 0.0
0, Eco6133, 718, 6752.17, 246.0, 171.8, 0.0
0, Eco6226, 14221, 7171.20, 146.8, 193.3, 0.0
0, Eco6441, 112, 7713.83, 326.6, 178.2, 0.0
0, Eco7133, 1393, 7181.63, 245.0, 166.0, 0.0
0, Eco7226, 46751, 7477.97, 83.9, 209.3, 0.0
0, Eco7441, 8369, 8242.08, 236.1, 248.5, 0.0
5, Eco1072, 115584, 7937.33, 407.9, 182.3, 0.0
