Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6923.21, 34.7, 186.8, 0.0
0, Eco1102, 62270, 6920.78, 64.3, 204.5, 0.0
0, Eco1133, 2042, 8062.52, 334.5, 216.9, 0.0
0, Eco1226, 20029, 8324.60, 163.8, 240.2, 0.0
0, Eco1441, 3597, 7620.60, 262.6, 233.8, 0.0
0, Eco2072, 474, 6576.24, 236.0, 162.7, 0.0
0, Eco2102, 25182, 6480.27, 111.9, 192.1, 0.0
0, Eco2133, 62492, 6925.10, 57.9, 181.2, 0.0
0, Eco2226, 140769, 7507.65, 33.7, 201.1, 0.0
0, Eco2441, 13252, 8299.01, 194.3, 226.3, 0.0
0, Eco3036, 4122, 5326.37, 180.7, 160.0, 0.0
0, Eco3072, 7998, 6071.30, 180.5, 189.8, 0.0
0, Eco3102, 2702, 6648.42, 243.8, 193.6, 0.0
0, Eco3226, 63089, 7896.43, 67.7, 227.0, 0.0
0, Eco3441, 12813, 9232.07, 192.6, 266.8, 0.0
0, Eco4036, 10187, 4428.61, 102.0, 140.9, 0.0
0, Eco4072, 8627, 6001.32, 164.7, 175.4, 0.0
0, Eco4102, 10771, 6706.44, 163.4, 192.3, 0.0
0, Eco4133, 2167, 7457.64, 253.5, 199.2, 0.0
0, Eco4226, 50645, 7377.76, 71.3, 210.9, 0.0
0, Eco4441, 11394, 8423.41, 195.4, 249.8, 0.0
0, Eco5036, 518, 5250.80, 180.4, 143.0, 0.0
0, Eco5102, 1704, 7333.12, 258.5, 212.0, 0.0
0, Eco5133, 2095, 6267.55, 228.9, 176.9, 0.0
0, Eco5226, 79038, 7433.91, 51.2, 201.6, 0.0
0, Eco5441, 24346, 8144.80, 130.7, 247.0, 0.0
0, Eco6036, 416, 4373.11, 139.9, 118.0, 0.0
0, Eco6133, 718, 6723.97, 246.0, 173.9, 0.0
0, Eco6226, 14221, 7151.18, 146.8, 194.2, 0.0
0, Eco6441, 112, 7713.83, 326.6, 178.2, 0.0
0, Eco7133, 1393, 7212.93, 245.0, 165.2, 0.0
0, Eco7226, 46751, 7474.98, 83.9, 209.3, 0.0
0, Eco7441, 8369, 8210.07, 236.1, 250.9, 0.0
5, Eco1072, 115584, 8262.47, 468.1, 207.8, 0.0
5, Eco1102, 62270, 8314.62, 466.3, 223.2, 0.0
5, Eco1133, 2042, 9547.80, 537.8, 232.6, 0.0
5, Eco1226, 20029, 9946.07, 535.3, 250.5, 0.0
5, Eco1441, 3597, 9226.13, 512.6, 261.2, 0.0
5, Eco2072, 474, 7613.29, 444.0, 171.9, 0.0
5, Eco2102, 25182, 7496.22, 395.4, 154.8, 0.0
5, Eco2133, 62492, 8015.68, 459.3, 175.6, 0.0
5, Eco2226, 140769, 8768.05, 466.6, 189.1, 0.0
5, Eco2441, 13252, 9632.65, 517.6, 223.9, 0.0
5, Eco3036, 4122, 6360.78, 367.9, 162.6, 0.0
5, Eco3072, 7998, 7299.60, 410.1, 173.8, 0.0
5, Eco3102, 2702, 7961.51, 456.2, 199.7, 0.0
5, Eco3226, 63089, 9394.11, 510.0, 230.7, 0.0
5, Eco3441, 12813, 10684.97, 580.3, 275.1, 0.0
