Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6944.25, 34.7, 185.9, 0.0
0, Eco1102, 62270, 7017.37, 64.3, 199.7, 0.0
0, Eco1133, 2042, 8201.61, 334.5, 215.1, 0.0
0, Eco1226, 20029, 8297.79, 163.8, 243.7, 0.0
0, Eco1441, 3597, 7666.82, 262.6, 232.3, 0.0
0, Eco2072, 474, 6631.22, 236.0, 161.6, 0.0
0, Eco2102, 25182, 6676.21, 111.9, 182.6, 0.0
0, Eco2133, 62492, 7039.24, 57.9, 177.9, 0.0
0, Eco2226, 140769, 7609.61, 33.7, 197.8, 0.0
0, Eco2441, 13252, 8369.38, 194.3, 224.9, 0.0
0, Eco3036, 4122, 5399.29, 180.7, 154.4, 0.0
0, Eco3072, 7998, 6183.06, 180.5, 182.6, 0.0
0, Eco3102, 2702, 6707.94, 243.8, 192.5, 0.0
0, Eco3226, 63089, 7961.26, 67.7, 226.0, 0.0
0, Eco3441, 12813, 9265.82, 192.6, 266.7, 0.0
0, Eco4036, 10187, 4599.55, 102.0, 131.7, 0.0
0, Eco4072, 8627, 6171.27, 164.7, 164.7, 0.0
0, Eco4102, 10771, 6861.14, 163.4, 183.9, 0.0
0, Eco4133, 2167, 7543.01, 253.5, 195.9, 0.0
0, Eco4226, 50645, 7563.12, 71.3, 203.0, 0.0
0, Eco4441, 11394, 8573.17, 195.4, 241.2, 0.0
0, Eco5036, 518, 5235.17, 180.4, 139.3, 0.0
0, Eco5102, 1704, 7382.92, 258.5, 206.8, 0.0
0, Eco5133, 2095, 6524.69, 228.9, 165.5, 0.0
0, Eco5226, 79038, 7652.77, 51.2, 193.5, 0.0
0, Eco5441, 24346, 8501.96, 130.7, 230.7, 0.0
0, Eco6036, 416, 4517.15, 139.9, 108.4, 0.0
0, Eco6133, 718, 6755.84, 246.0, 170.9, 0.0
0, Eco6226, 14221, 7385.02, 146.8, 184.5, 0.0
0, Eco6441, 112, 7515.21, 326.6, 184.1, 0.0
0, Eco7133, 1393, 7136.18, 245.0, 169.5, 0.0
0, Eco7226, 46751, 7515.53, 83.9, 210.0, 0.0
0, Eco7441, 8369, 8381.95, 236.1, 242.7, 0.0
5, Eco1072, 115584, 8215.23, 466.0, 200.5, 0.0
5, Eco1102, 62270, 8301.13, 458.3, 203.9, 0.0
5, Eco1133, 2042, 9589.55, 555.6, 229.0, 0.0
5, Eco1226, 20029, 9845.39, 548.1, 246.6, 0.0
5, Eco1441, 3597, 9153.91, 502.9, 242.4, 0.0
5, Eco2072, 474, 7736.56, 466.0, 180.9, 0.0
5, Eco2102, 25182, 7775.77, 426.3, 164.5, 0.0
5, Eco2133, 62492, 8212.68, 492.7, 185.3, 0.0
5, Eco2226, 140769, 8910.14, 495.5, 195.5, 0.0
5, Eco2441, 13252, 9742.87, 547.3, 231.6, 0.0
5, Eco3036, 4122, 6374.27, 370.6, 162.8, 0.0
5, Eco3072, 7998, 7368.18, 419.2, 177.1, 0.0
5, Eco3102, 2702, 7981.66, 459.6, 196.1, 0.0
5, Eco3226, 63089, 9348.59, 520.0, 229.3, 0.0
5, Eco3441, 12813, 10684.32, 596.5, 279.1, 0.0
5, Eco4036, 10187, 5338.21, 310.0, 122.2, 0.0
5, Eco4072, 8627, 7212.43, 419.0, 174.1, 0.0
5, Eco4102, 10771, 8019.39, 473.6, 200.3, 0.0
5, Eco4133, 2167, 8717.56, 505.4, 216.6, 0.0
5, Eco4226, 50645, 8783.88, 518.0, 209.2, 0.0
5, Eco4441, 11394, 9881.87, 564.6, 252.2, 0.0
5, Eco5036, 518, 6051.33, 349.5, 149.6, 0.0
5, Eco5102, 1704, 8587.19, 505.8, 232.3, 0.0
5, Eco5133, 2095, 7636.44, 455.5, 176.4, 0.0
5, Eco5226, 79038, 8788.59, 511.2, 205.3, 0.0
