Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6938.78, 34.7, 185.8, 0.0
0, Eco1102, 62270, 6972.55, 64.3, 201.3, 0.0
0, Eco1133, 2042, 7332.10, 334.5, 252.6, 0.0
0, Eco1226, 20029, 8321.57, 163.8, 242.1, 0.0
0, Eco1441, 3597, 7526.07, 262.6, 238.3, 0.0
0, Eco2072, 474, 6631.22, 236.0, 161.6, 0.0
0, Eco2102, 25182, 6635.33, 111.9, 184.4, 0.0
0, Eco2133, 62492, 7073.96, 57.9, 176.1, 0.0
0, Eco2226, 140769, 7611.79, 33.7, 197.8, 0.0
0, Eco2441, 13252, 8427.63, 194.3, 221.6, 0.0
0, Eco3036, 4122, 5374.19, 180.7, 158.4, 0.0
0, Eco3072, 7998, 6151.25, 180.5, 185.7, 0.0
0, Eco3102, 2702, 6652.40, 243.8, 193.9, 0.0
0, Eco3226, 63089, 7963.92, 67.7, 225.7, 0.0
0, Eco3441, 12813, 9317.94, 192.6, 262.8, 0.0
0, Eco4036, 10187, 4609.87, 102.0, 130.3, 0.0
0, Eco4072, 8627, 6143.71, 164.7, 165.9, 0.0
0, Eco4102, 10771, 6832.86, 163.4, 185.6, 0.0
0, Eco4133, 2167, 7573.98, 253.5, 193.5, 0.0
0, Eco4226, 50645, 7557.11, 71.3, 203.2, 0.0
0, Eco4441, 11394, 8573.64, 195.4, 241.2, 0.0
0, Eco5036, 518, 5311.23, 180.4, 138.7, 0.0
0, Eco5102, 1704, 7246.52, 258.5, 215.1, 0.0
0, Eco5133, 2095, 6505.13, 228.9, 167.2, 0.0
0, Eco5226, 79038, 7668.98, 51.2, 193.3, 0.0
0, Eco5441, 24346, 8539.71, 130.7, 228.2, 0.0
0, Eco6036, 416, 4517.81, 139.9, 106.3, 0.0
0, Eco6133, 718, 6996.35, 246.0, 164.7, 0.0
0, Eco6226, 14221, 7409.94, 146.8, 183.5, 0.0
0, Eco6441, 112, 7795.86, 326.6, 175.9, 0.0
0, Eco7133, 1393, 7114.72, 245.0, 169.8, 0.0
0, Eco7226, 46751, 7536.29, 83.9, 209.5, 0.0
0, Eco7441, 8369, 8440.49, 236.1, 239.4, 0.0
5, Eco1072, 115584, 7990.10, 410.8, 183.5, 0.0
5, Eco1102, 62270, 8121.40, 429.4, 202.4, 0.0
5, Eco1133, 2042, 8450.88, 447.2, 186.8, 0.0
5, Eco1226, 20029, 9760.47, 526.9, 234.0, 0.0
5, Eco1441, 3597, 9045.53, 501.1, 251.8, 0.0
5, Eco2072, 474, 7393.05, 374.9, 147.1, 0.0
5, Eco2102, 25182, 7432.08, 349.8, 134.2, 0.0
5, Eco2133, 62492, 7951.74, 422.5, 154.5, 0.0
5, Eco2226, 140769, 8780.18, 467.9, 180.9, 0.0
5, Eco2441, 13252, 9710.76, 518.1, 219.1, 0.0
5, Eco3036, 4122, 6196.16, 319.7, 145.8, 0.0
5, Eco3072, 7998, 7124.96, 359.8, 154.4, 0.0
5, Eco3102, 2702, 7740.80, 406.2, 177.3, 0.0
5, Eco3226, 63089, 9265.84, 496.4, 211.8, 0.0
5, Eco3441, 12813, 10678.38, 570.2, 264.5, 0.0
5, Eco4036, 10187, 5213.23, 263.8, 105.0, 0.0
5, Eco4072, 8627, 7025.78, 358.2, 147.6, 0.0
5, Eco4102, 10771, 7799.16, 407.6, 170.9, 0.0
5, Eco4133, 2167, 8561.53, 445.4, 186.7, 0.0
5, Eco4226, 50645, 8656.26, 472.2, 178.9, 0.0
5, Eco4441, 11394, 9804.80, 506.6, 212.1, 0.0
5, Eco5036, 518, 5916.51, 279.8, 119.2, 0.0
5, Eco5102, 1704, 8214.26, 423.1, 189.4, 0.0
5, Eco5133, 2095, 7349.16, 374.2, 138.3, 0.0
5, Eco5226, 79038, 8644.08, 459.5, 169.8, 0.0
5, Eco5441, 24346, 9624.65, 499.0, 202.5, 0.0
5, Eco6036, 416, 5008.88, 245.5, 89.0, 0.0
5, Eco6133, 718, 7786.75, 386.7, 138.5, 0.0
5, Eco6226, 14221, 8351.78, 436.5, 154.7, 0.0
5, Eco6441, 112, 8994.63, 488.3, 185.4, 0.0
5, Eco7133, 1393, 8076.53, 440.5, 161.0, 0.0
5, Eco7226, 46751, 8643.60, 464.0, 179.5, 0.0
5, Eco7441, 8369, 9711.46, 512.7, 219.6, 0.0
10, Eco1072, 115584, 8951.51, 439.2, 195.8, 0.0
10, Eco1102, 62270, 9113.83, 449.2, 211.7, 0.0
10, Eco1133, 2042, 9408.03, 487.2, 204.6, 0.0
10, Eco1226, 20029, 10752.23, 526.9, 236.8, 0.0
10, Eco1441, 3597, 10080.84, 513.4, 250.4, 0.0
10, Eco2072, 474, 8181.66, 416.2, 164.5, 0.0
10, Eco2102, 25182, 7855.17, 381.5, 149.0, 0.0
10, Eco2133, 62492, 8675.88, 452.7, 170.7, 0.0
10, Eco2226, 140769, 9361.01, 465.3, 183.3, 0.0
10, Eco2441, 13252, 10609.57, 525.7, 222.0, 0.0
10, Eco3036, 4122, 6719.57, 330.0, 147.9, 0.0
10, Eco3072, 7998, 7948.97, 390.3, 166.7, 0.0
10, Eco3102, 2702, 8635.75, 422.6, 186.4, 0.0
10, Eco3226, 63089, 9906.83, 483.7, 211.7, 0.0
10, Eco3441, 12813, 11394.66, 572.0, 260.4, 0.0
10, Eco4036, 10187, 5513.04, 283.9, 111.8, 0.0
10, Eco4072, 8627, 7579.88, 371.0, 157.1, 0.0
10, Eco4102, 10771, 8502.53, 423.6, 184.1, 0.0
10, Eco4133, 2167, 9237.95, 451.2, 200.0, 0.0
10, Eco4226, 50645, 9282.97, 476.1, 189.3, 0.0
10, Eco4441, 11394, 10369.56, 518.2, 226.9, 0.0
10, Eco5036, 518, 6265.05, 295.1, 125.1, 0.0
10, Eco5102, 1704, 8967.37, 435.8, 204.7, 0.0
10, Eco5133, 2095, 8120.37, 409.7, 157.8, 0.0
10, Eco5226, 79038, 9131.92, 461.9, 181.6, 0.0
10, Eco5441, 24346, 10073.21, 498.2, 209.9, 0.0
10, Eco6036, 416, 5178.04, 267.9, 98.3, 0.0
10, Eco6133, 718, 8484.90, 419.7, 160.3, 0.0
10, Eco6226, 14221, 8964.00, 459.4, 172.4, 0.0
10, Eco6441, 112, 9960.21, 491.0, 192.9, 0.0
10, Eco7133, 1393, 8568.98, 443.4, 170.1, 0.0
10, Eco7226, 46751, 9184.64, 456.8, 182.8, 0.0
10, Eco7441, 8369, 10416.16, 509.6, 214.7, 0.0
15, Eco1072, 115584, 9612.30, 429.5, 191.7, 0.0
15, Eco1102, 62270, 9884.29, 437.2, 206.0, 0.0
15, Eco1133, 2042, 9913.26, 467.0, 200.2, 0.0
15, Eco1226, 20029, 11331.70, 493.6, 228.5, 0.0
15, Eco1441, 3597, 10831.64, 477.4, 238.7, 0.0
15, Eco2072, 474, 8012.41, 414.1, 166.1, 0.0
15, Eco2102, 25182, 8361.06, 384.2, 149.6, 0.0
15, Eco2133, 62492, 9110.23, 439.1, 167.2, 0.0
15, Eco2226, 140769, 9758.17, 442.3, 177.6, 0.0
15, Eco2441, 13252, 11030.92, 491.2, 213.6, 0.0
15, Eco3036, 4122, 6826.92, 303.3, 138.0, 0.0
15, Eco3072, 7998, 8417.86, 378.0, 161.8, 0.0
15, Eco3102, 2702, 9141.46, 408.1, 179.4, 0.0
15, Eco3226, 63089, 10343.05, 459.5, 203.7, 0.0
15, Eco3441, 12813, 11951.22, 539.8, 253.1, 0.0
15, Eco4036, 10187, 5774.28, 264.4, 105.2, 0.0
15, Eco4072, 8627, 7934.24, 357.3, 147.9, 0.0
15, Eco4102, 10771, 8626.40, 397.3, 171.2, 0.0
15, Eco4133, 2167, 9415.39, 426.2, 186.9, 0.0
15, Eco4226, 50645, 9501.04, 443.8, 178.3, 0.0
15, Eco4441, 11394, 10729.18, 494.1, 219.6, 0.0
15, Eco5036, 518, 6411.25, 281.3, 117.6, 0.0
15, Eco5102, 1704, 8979.42, 411.4, 188.9, 0.0
