Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6954.45, 34.7, 185.2, 0.0
0, Eco1102, 62270, 6973.67, 64.3, 201.7, 0.0
0, Eco1133, 2042, 8036.48, 334.5, 222.8, 0.0
0, Eco1226, 20029, 8317.50, 163.8, 242.5, 0.0
0, Eco1441, 3597, 7614.67, 262.6, 235.6, 0.0
0, Eco2072, 474, 6631.22, 236.0, 161.6, 0.0
0, Eco2102, 25182, 6661.31, 111.9, 183.3, 0.0
0, Eco2133, 62492, 7058.86, 57.9, 177.1, 0.0
0, Eco2226, 140769, 7613.12, 33.7, 197.5, 0.0
0, Eco2441, 13252, 8437.53, 194.3, 222.1, 0.0
0, Eco3036, 4122, 5340.72, 180.7, 160.9, 0.0
0, Eco3072, 7998, 6135.37, 180.5, 185.5, 0.0
0, Eco3102, 2702, 6737.27, 243.8, 190.2, 0.0
0, Eco3226, 63089, 7928.86, 67.7, 227.7, 0.0
0, Eco3441, 12813, 9253.91, 192.6, 267.0, 0.0
0, Eco4036, 10187, 4607.97, 102.0, 130.8, 0.0
0, Eco4072, 8627, 6122.54, 164.7, 168.5, 0.0
0, Eco4102, 10771, 6862.83, 163.4, 183.6, 0.0
0, Eco4133, 2167, 7523.42, 253.5, 196.6, 0.0
0, Eco4226, 50645, 7524.47, 71.3, 204.6, 0.0
0, Eco4441, 11394, 8498.80, 195.4, 244.4, 0.0
0, Eco5036, 518, 5171.07, 180.4, 156.5, 0.0
0, Eco5102, 1704, 7325.40, 258.5, 211.4, 0.0
0, Eco5133, 2095, 6488.16, 228.9, 168.5, 0.0
0, Eco5226, 79038, 7636.54, 51.2, 194.4, 0.0
0, Eco5441, 24346, 8518.58, 130.7, 230.1, 0.0
0, Eco6036, 416, 4525.50, 139.9, 108.1, 0.0
0, Eco6133, 718, 7004.73, 246.0, 163.3, 0.0
0, Eco6226, 14221, 7416.71, 146.8, 183.2, 0.0
0, Eco6441, 112, 7795.86, 326.6, 175.9, 0.0
0, Eco7133, 1393, 7059.38, 245.0, 172.4, 0.0
0, Eco7226, 46751, 7573.74, 83.9, 206.6, 0.0
0, Eco7441, 8369, 8414.78, 236.1, 241.9, 0.0
5, Eco1072, 115584, 8289.37, 470.1, 208.4, 0.0
5, Eco1102, 62270, 8373.60, 470.8, 225.0, 0.0
5, Eco1133, 2042, 9490.09, 527.9, 228.5, 0.0
5, Eco1226, 20029, 9933.03, 536.4, 251.0, 0.0
5, Eco1441, 3597, 9220.57, 512.4, 261.4, 0.0
5, Eco2072, 474, 7650.87, 446.1, 172.5, 0.0
5, Eco2102, 25182, 7667.54, 403.4, 157.1, 0.0
5, Eco2133, 62492, 8137.69, 465.1, 177.3, 0.0
5, Eco2226, 140769, 8871.25, 471.4, 190.6, 0.0
5, Eco2441, 13252, 9770.32, 524.3, 225.9, 0.0
5, Eco3036, 4122, 6385.43, 370.4, 163.4, 0.0
5, Eco3072, 7998, 7383.83, 415.1, 175.8, 0.0
5, Eco3102, 2702, 8061.13, 461.3, 201.4, 0.0
5, Eco3226, 63089, 9416.88, 512.4, 231.6, 0.0
5, Eco3441, 12813, 10726.08, 582.7, 276.3, 0.0
5, Eco4036, 10187, 5408.27, 317.8, 122.1, 0.0
5, Eco4072, 8627, 7240.05, 417.9, 170.3, 0.0
5, Eco4102, 10771, 8069.33, 468.8, 197.8, 0.0
5, Eco4133, 2167, 8737.30, 494.1, 214.2, 0.0
5, Eco4226, 50645, 8837.90, 506.5, 206.6, 0.0
5, Eco4441, 11394, 9924.16, 547.8, 247.6, 0.0
5, Eco5036, 518, 6007.52, 344.1, 143.7, 0.0
5, Eco5102, 1704, 8613.51, 497.5, 227.0, 0.0
5, Eco5133, 2095, 7623.03, 442.6, 169.4, 0.0
5, Eco5226, 79038, 8869.30, 503.1, 202.6, 0.0
5, Eco5441, 24346, 9786.61, 545.2, 237.9, 0.0
5, Eco6036, 416, 5280.09, 334.4, 118.4, 0.0
5, Eco6133, 718, 8154.25, 462.8, 175.6, 0.0
5, Eco6226, 14221, 8636.55, 490.6, 188.9, 0.0
5, Eco6441, 112, 9053.84, 520.2, 209.6, 0.0
5, Eco7133, 1393, 8267.65, 497.7, 188.2, 0.0
5, Eco7226, 46751, 8866.74, 484.9, 199.9, 0.0
5, Eco7441, 8369, 9772.97, 525.6, 230.0, 0.0
10, Eco1072, 115584, 9263.07, 452.4, 201.6, 0.0
10, Eco1102, 62270, 9259.55, 452.5, 213.9, 0.0
10, Eco1133, 2042, 10501.43, 515.6, 220.9, 0.0
10, Eco1226, 20029, 10820.62, 502.9, 234.9, 0.0
10, Eco1441, 3597, 10129.10, 479.0, 245.4, 0.0
10, Eco2072, 474, 8474.89, 425.5, 168.7, 0.0
10, Eco2102, 25182, 8048.23, 387.4, 151.0, 0.0
10, Eco2133, 62492, 8788.88, 454.1, 172.2, 0.0
10, Eco2226, 140769, 9316.35, 449.0, 179.9, 0.0
10, Eco2441, 13252, 10514.75, 503.8, 216.8, 0.0
10, Eco3036, 4122, 7007.49, 338.1, 153.6, 0.0
10, Eco3072, 7998, 8242.98, 402.2, 171.2, 0.0
10, Eco3102, 2702, 8891.85, 436.5, 190.8, 0.0
10, Eco3226, 63089, 10053.74, 472.3, 214.1, 0.0
10, Eco3441, 12813, 11431.55, 535.2, 257.6, 0.0
10, Eco4036, 10187, 5785.83, 288.2, 116.9, 0.0
10, Eco4072, 8627, 7956.00, 389.1, 164.3, 0.0
10, Eco4102, 10771, 8984.01, 453.4, 194.8, 0.0
10, Eco4133, 2167, 9718.84, 484.1, 212.1, 0.0
10, Eco4226, 50645, 9587.97, 482.2, 196.8, 0.0
10, Eco4441, 11394, 10612.62, 513.0, 232.7, 0.0
10, Eco5036, 518, 6722.81, 321.4, 139.1, 0.0
10, Eco5102, 1704, 9716.37, 485.7, 224.7, 0.0
10, Eco5133, 2095, 8662.01, 448.8, 172.2, 0.0
10, Eco5226, 79038, 9511.96, 473.6, 191.4, 0.0
10, Eco5441, 24346, 10538.60, 513.8, 225.3, 0.0
10, Eco6036, 416, 5633.19, 290.8, 110.1, 0.0
10, Eco6133, 718, 9148.07, 462.1, 177.1, 0.0
10, Eco6226, 14221, 9462.11, 479.2, 183.6, 0.0
10, Eco6441, 112, 10104.89, 511.3, 204.2, 0.0
10, Eco7133, 1393, 8805.32, 464.7, 178.5, 0.0
10, Eco7226, 46751, 9323.94, 446.1, 185.1, 0.0
10, Eco7441, 8369, 10489.73, 492.8, 216.9, 0.0
15, Eco1072, 115584, 9897.35, 444.8, 189.6, 0.0
15, Eco1102, 62270, 10035.64, 450.2, 202.3, 0.0
15, Eco1133, 2042, 10947.13, 500.5, 207.6, 0.0
15, Eco1226, 20029, 11465.41, 516.9, 226.4, 0.0
15, Eco1441, 3597, 11109.03, 505.1, 241.3, 0.0
15, Eco2072, 474, 8192.26, 432.8, 167.4, 0.0
15, Eco2102, 25182, 8505.17, 394.4, 147.3, 0.0
15, Eco2133, 62492, 9124.48, 443.6, 163.1, 0.0
15, Eco2226, 140769, 9656.57, 442.4, 171.5, 0.0
15, Eco2441, 13252, 10941.38, 496.6, 209.5, 0.0
15, Eco3036, 4122, 7133.53, 327.1, 140.2, 0.0
15, Eco3072, 7998, 8726.27, 399.9, 162.9, 0.0
15, Eco3102, 2702, 9547.32, 435.5, 181.1, 0.0
15, Eco3226, 63089, 10539.45, 477.6, 203.7, 0.0
15, Eco3441, 12813, 12092.77, 557.1, 253.3, 0.0
15, Eco4036, 10187, 6167.02, 306.2, 115.0, 0.0
15, Eco4072, 8627, 8436.55, 394.5, 157.5, 0.0
15, Eco4102, 10771, 9141.58, 432.3, 180.4, 0.0
15, Eco4133, 2167, 10007.72, 459.4, 196.7, 0.0
15, Eco4226, 50645, 9909.21, 470.6, 185.4, 0.0
15, Eco4441, 11394, 11208.29, 524.9, 227.1, 0.0
15, Eco5036, 518, 6973.41, 321.6, 131.2, 0.0
15, Eco5102, 1704, 10494.41, 482.6, 213.6, 0.0
15, Eco5133, 2095, 9272.27, 443.8, 165.9, 0.0
15, Eco5226, 79038, 9973.20, 465.5, 181.4, 0.0
15, Eco5441, 24346, 10977.49, 511.2, 216.9, 0.0
15, Eco6036, 416, 5804.50, 297.3, 104.4, 0.0
15, Eco6133, 718, 9789.02, 455.1, 169.5, 0.0
15, Eco6226, 14221, 9957.43, 465.8, 174.2, 0.0
15, Eco6441, 112, 10524.49, 503.7, 198.6, 0.0
15, Eco7133, 1393, 8728.43, 438.8, 163.1, 0.0
15, Eco7226, 46751, 9610.70, 445.4, 176.6, 0.0
15, Eco7441, 8369, 10839.07, 490.9, 209.5, 0.0
20, Eco1072, 115584, 10001.67, 214.5, 131.2, 0.0
20, Eco1102, 62270, 10139.12, 241.9, 145.5, 0.0
20, Eco1133, 2042, 10935.08, 257.8, 145.9, 0.0
20, Eco1226, 20029, 11527.21, 329.3, 177.5, 0.0
20, Eco1441, 3597, 11738.87, 444.4, 215.1, 0.0
20, Eco2072, 474, 7741.67, 209.9, 111.0, 0.0
20, Eco2102, 25182, 8456.98, 230.5, 109.4, 0.0
20, Eco2133, 62492, 9204.13, 266.9, 121.3, 0.0
20, Eco2226, 140769, 9893.14, 336.1, 145.6, 0.0
20, Eco2441, 13252, 11180.26, 442.3, 187.1, 0.0
20, Eco3036, 4122, 7214.02, 157.6, 97.5, 0.0
20, Eco3072, 7998, 8765.07, 189.8, 110.6, 0.0
20, Eco3102, 2702, 9680.05, 216.6, 123.4, 0.0
