Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6939.84, 34.7, 186.0, 0.0
0, Eco1102, 62270, 6869.95, 64.3, 206.5, 0.0
0, Eco1133, 2042, 8243.51, 334.5, 212.3, 0.0
0, Eco1226, 20029, 8307.72, 163.8, 241.0, 0.0
0, Eco1441, 3597, 7737.31, 262.6, 226.8, 0.0
0, Eco2072, 474, 6141.66, 236.0, 184.3, 0.0
0, Eco2102, 25182, 6415.62, 111.9, 195.0, 0.0
0, Eco2133, 62492, 6787.75, 57.9, 188.0, 0.0
0, Eco2226, 140769, 7416.17, 33.7, 205.6, 0.0
0, Eco2441, 13252, 8208.54, 194.3, 232.1, 0.0
0, Eco3036, 4122, 5279.15, 180.7, 163.3, 0.0
0, Eco3072, 7998, 6114.93, 180.5, 187.0, 0.0
0, Eco3102, 2702, 6620.55, 243.8, 197.1, 0.0
0, Eco3226, 63089, 7888.23, 67.7, 227.6, 0.0
0, Eco3441, 12813, 9201.35, 192.6, 269.3, 0.0
0, Eco4036, 10187, 4421.71, 102.0, 142.0, 0.0
0, Eco4072, 8627, 6024.62, 164.7, 173.7, 0.0
0, Eco4102, 10771, 6714.16, 163.4, 191.5, 0.0
0, Eco4133, 2167, 7462.35, 253.5, 200.2, 0.0
0, Eco4226, 50645, 7377.96, 71.3, 210.6, 0.0
0, Eco4441, 11394, 8412.38, 195.4, 249.4, 0.0
0, Eco5036, 518, 5231.46, 180.4, 141.3, 0.0
0, Eco5102, 1704, 7155.44, 258.5, 220.3, 0.0
0, Eco5133, 2095, 5888.29, 228.9, 194.1, 0.0
0, Eco5226, 79038, 7367.23, 51.2, 205.4, 0.0
0, Eco5441, 24346, 8146.66, 130.7, 246.9, 0.0
0, Eco6036, 416, 4363.12, 139.9, 116.2, 0.0
0, Eco6133, 718, 6828.87, 246.0, 167.6, 0.0
0, Eco6226, 14221, 7148.16, 146.8, 194.2, 0.0
0, Eco6441, 112, 7713.83, 326.6, 178.2, 0.0
0, Eco7133, 1393, 6883.86, 245.0, 182.0, 0.0
0, Eco7226, 46751, 7412.62, 83.9, 213.4, 0.0
0, Eco7441, 8369, 8156.96, 236.1, 253.3, 0.0
5, Eco1072, 115584, 8212.61, 466.0, 200.5, 0.0
5, Eco1102, 62270, 8136.49, 448.7, 200.4, 0.0
5, Eco1133, 2042, 9629.14, 560.2, 230.5, 0.0
5, Eco1226, 20029, 9851.15, 547.5, 246.2, 0.0
5, Eco1441, 3597, 9188.32, 506.0, 243.4, 0.0
5, Eco2072, 474, 7251.16, 439.1, 173.0, 0.0
5, Eco2102, 25182, 7531.78, 414.4, 161.0, 0.0
5, Eco2133, 62492, 7969.44, 478.7, 181.0, 0.0
5, Eco2226, 140769, 8720.32, 485.9, 192.5, 0.0
5, Eco2441, 13252, 9567.02, 537.9, 228.3, 0.0
5, Eco3036, 4122, 6260.07, 363.3, 160.4, 0.0
5, Eco3072, 7998, 7290.81, 413.6, 174.9, 0.0
5, Eco3102, 2702, 7879.83, 452.3, 193.6, 0.0
5, Eco3226, 63089, 9275.06, 515.3, 227.6, 0.0
5, Eco3441, 12813, 10597.69, 591.8, 277.2, 0.0
5, Eco4036, 10187, 5169.75, 300.7, 119.5, 0.0
5, Eco4072, 8627, 7055.51, 409.6, 171.2, 0.0
5, Eco4102, 10771, 7869.08, 465.9, 197.8, 0.0
5, Eco4133, 2167, 8623.84, 501.8, 215.3, 0.0
5, Eco4226, 50645, 8603.34, 508.1, 206.0, 0.0
5, Eco4441, 11394, 9719.63, 553.5, 248.3, 0.0
5, Eco5036, 518, 6008.00, 349.6, 149.8, 0.0
5, Eco5102, 1704, 8365.72, 493.3, 228.3, 0.0
5, Eco5133, 2095, 6954.24, 416.5, 163.2, 0.0
5, Eco5226, 79038, 8506.09, 496.5, 200.7, 0.0
5, Eco5441, 24346, 9283.31, 530.6, 233.1, 0.0
5, Eco6036, 416, 5099.31, 320.2, 118.9, 0.0
5, Eco6133, 718, 7919.36, 469.8, 181.0, 0.0
5, Eco6226, 14221, 8369.61, 498.1, 190.7, 0.0
5, Eco6441, 112, 8974.17, 540.7, 215.2, 0.0
5, Eco7133, 1393, 8148.02, 516.1, 195.0, 0.0
5, Eco7226, 46751, 8710.48, 493.5, 200.4, 0.0
5, Eco7441, 8369, 9541.63, 529.7, 229.9, 0.0
10, Eco1072, 115584, 9058.85, 457.0, 198.0, 0.0
10, Eco1102, 62270, 8904.85, 435.9, 196.0, 0.0
10, Eco1133, 2042, 10355.78, 523.4, 223.3, 0.0
10, Eco1226, 20029, 10574.82, 518.1, 233.5, 0.0
10, Eco1441, 3597, 10104.56, 493.4, 236.2, 0.0
10, Eco2072, 474, 8032.13, 450.2, 172.4, 0.0
10, Eco2102, 25182, 7839.10, 400.7, 153.1, 0.0
10, Eco2133, 62492, 8327.88, 456.9, 171.8, 0.0
10, Eco2226, 140769, 8931.78, 453.9, 181.5, 0.0
10, Eco2441, 13252, 10290.39, 523.1, 222.9, 0.0
10, Eco3036, 4122, 6772.51, 350.8, 153.3, 0.0
10, Eco3072, 7998, 8060.02, 413.1, 170.7, 0.0
10, Eco3102, 2702, 8491.40, 432.3, 183.6, 0.0
10, Eco3226, 63089, 9711.54, 480.1, 210.6, 0.0
10, Eco3441, 12813, 11377.20, 565.5, 263.7, 0.0
10, Eco4036, 10187, 5301.62, 287.6, 111.7, 0.0
10, Eco4072, 8627, 7546.63, 389.3, 158.8, 0.0
10, Eco4102, 10771, 8637.41, 450.5, 188.0, 0.0
10, Eco4133, 2167, 9169.67, 469.3, 202.4, 0.0
10, Eco4226, 50645, 8975.10, 473.4, 189.0, 0.0
10, Eco4441, 11394, 10321.08, 522.2, 231.9, 0.0
10, Eco5036, 518, 6648.11, 342.7, 141.4, 0.0
10, Eco5102, 1704, 9274.08, 487.0, 216.8, 0.0
10, Eco5133, 2095, 7584.28, 426.0, 157.6, 0.0
10, Eco5226, 79038, 9016.08, 481.3, 189.3, 0.0
10, Eco5441, 24346, 9882.55, 523.4, 224.0, 0.0
10, Eco6036, 416, 4931.96, 279.1, 100.9, 0.0
10, Eco6133, 718, 8442.32, 454.0, 170.8, 0.0
10, Eco6226, 14221, 9022.68, 479.9, 180.9, 0.0
10, Eco6441, 112, 9084.75, 487.4, 196.1, 0.0
10, Eco7133, 1393, 8507.47, 472.6, 178.7, 0.0
10, Eco7226, 46751, 8860.15, 447.3, 183.4, 0.0
10, Eco7441, 8369, 10235.33, 507.3, 219.9, 0.0
15, Eco1072, 115584, 9582.12, 357.1, 176.7, 0.0
15, Eco1102, 62270, 9411.93, 356.3, 176.2, 0.0
15, Eco1133, 2042, 10971.37, 432.3, 204.3, 0.0
15, Eco1226, 20029, 10806.12, 455.2, 215.6, 0.0
15, Eco1441, 3597, 10625.49, 432.8, 218.0, 0.0
15, Eco2072, 474, 7479.30, 339.0, 150.9, 0.0
15, Eco2102, 25182, 8235.85, 355.6, 148.9, 0.0
15, Eco2133, 62492, 8620.70, 404.5, 163.9, 0.0
15, Eco2226, 140769, 9067.57, 422.6, 173.1, 0.0
15, Eco2441, 13252, 10759.97, 485.3, 213.4, 0.0
15, Eco3036, 4122, 6751.26, 260.1, 133.0, 0.0
15, Eco3072, 7998, 8416.26, 317.3, 154.6, 0.0
15, Eco3102, 2702, 8893.32, 344.3, 167.6, 0.0
15, Eco3226, 63089, 10082.33, 418.1, 198.7, 0.0
15, Eco3441, 12813, 11781.59, 482.6, 246.0, 0.0
15, Eco4036, 10187, 5580.91, 260.7, 108.7, 0.0
15, Eco4072, 8627, 7764.96, 333.0, 149.2, 0.0
15, Eco4102, 10771, 8831.79, 388.4, 177.4, 0.0
15, Eco4133, 2167, 9546.04, 425.1, 195.1, 0.0
15, Eco4226, 50645, 9205.24, 450.7, 188.9, 0.0
15, Eco4441, 11394, 10792.94, 499.6, 230.3, 0.0
15, Eco5036, 518, 6589.76, 278.1, 129.8, 0.0
15, Eco5102, 1704, 9811.83, 399.6, 200.1, 0.0
15, Eco5133, 2095, 8080.20, 374.8, 151.5, 0.0
15, Eco5226, 79038, 9246.25, 437.7, 181.8, 0.0
15, Eco5441, 24346, 10284.72, 494.2, 217.7, 0.0
15, Eco6036, 416, 5153.61, 258.5, 97.5, 0.0
15, Eco6133, 718, 9198.84, 429.3, 171.5, 0.0
15, Eco6226, 14221, 9451.83, 455.2, 179.2, 0.0
15, Eco6441, 112, 10133.35, 499.1, 201.4, 0.0
15, Eco7133, 1393, 8597.98, 399.9, 163.5, 0.0
15, Eco7226, 46751, 9004.11, 416.7, 174.9, 0.0
15, Eco7441, 8369, 10533.31, 471.8, 210.8, 0.0
20, Eco1072, 115584, 10030.31, 425.3, 174.7, 0.0
20, Eco1102, 62270, 10117.36, 429.4, 179.4, 0.0
20, Eco1133, 2042, 10751.40, 466.4, 195.2, 0.0
20, Eco1226, 20029, 11513.28, 502.3, 214.6, 0.0
20, Eco1441, 3597, 11306.37, 477.4, 213.4, 0.0
20, Eco2072, 474, 8138.41, 428.7, 158.2, 0.0
20, Eco2102, 25182, 8632.90, 406.4, 152.0, 0.0
20, Eco2133, 62492, 9016.86, 453.0, 166.8, 0.0
20, Eco2226, 140769, 9475.74, 451.4, 174.4, 0.0
20, Eco2441, 13252, 11189.53, 504.9, 209.3, 0.0
20, Eco3036, 4122, 6950.36, 304.1, 124.6, 0.0
20, Eco3072, 7998, 8773.59, 384.5, 152.3, 0.0
20, Eco3102, 2702, 9397.78, 417.2, 168.4, 0.0
20, Eco3226, 63089, 10504.92, 469.1, 197.5, 0.0
20, Eco3441, 12813, 12547.91, 555.7, 246.4, 0.0
20, Eco4036, 10187, 5555.38, 273.3, 103.0, 0.0
20, Eco4072, 8627, 8174.97, 369.6, 143.7, 0.0
20, Eco4102, 10771, 9128.76, 413.7, 167.6, 0.0
20, Eco4133, 2167, 9899.22, 443.3, 182.7, 0.0
20, Eco4226, 50645, 9551.08, 462.2, 180.4, 0.0
20, Eco4441, 11394, 11305.42, 515.4, 219.3, 0.0
20, Eco5036, 518, 6825.99, 298.9, 119.4, 0.0
20, Eco5102, 1704, 10143.90, 449.4, 192.1, 0.0
20, Eco5133, 2095, 8595.73, 426.1, 154.5, 0.0
20, Eco5226, 79038, 9513.12, 459.7, 176.9, 0.0
20, Eco5441, 24346, 10591.53, 504.1, 207.8, 0.0
20, Eco6036, 416, 5487.33, 277.1, 95.3, 0.0
20, Eco6133, 718, 9304.79, 441.8, 165.8, 0.0
20, Eco6226, 14221, 9207.81, 439.7, 166.2, 0.0
20, Eco6441, 112, 9972.37, 474.0, 184.3, 0.0
20, Eco7133, 1393, 8865.25, 442.6, 163.4, 0.0
20, Eco7226, 46751, 8930.35, 429.6, 168.0, 0.0
20, Eco7441, 8369, 10897.77, 497.5, 205.9, 0.0
25, Eco1072, 115584, 10614.44, 400.5, 184.6, 0.0
25, Eco1102, 62270, 10800.79, 417.1, 190.9, 0.0
25, Eco1133, 2042, 11550.60, 474.7, 211.2, 0.0
25, Eco1226, 20029, 12321.13, 518.1, 230.1, 0.0
25, Eco1441, 3597, 12004.49, 493.2, 227.0, 0.0
25, Eco2072, 474, 8840.20, 429.3, 170.6, 0.0
25, Eco2102, 25182, 9266.03, 409.9, 163.6, 0.0
25, Eco2133, 62492, 9380.52, 447.6, 174.6, 0.0
25, Eco2226, 140769, 9973.44, 452.2, 182.4, 0.0
25, Eco2441, 13252, 11713.55, 503.0, 217.9, 0.0
25, Eco3036, 4122, 7005.32, 282.2, 128.9, 0.0
25, Eco3072, 7998, 8834.99, 349.0, 154.2, 0.0
25, Eco3102, 2702, 10154.50, 405.3, 177.7, 0.0
25, Eco3226, 63089, 10911.21, 470.0, 205.0, 0.0
25, Eco3441, 12813, 13225.98, 561.8, 256.9, 0.0
25, Eco4036, 10187, 5749.07, 260.3, 107.5, 0.0
25, Eco4072, 8627, 7585.98, 316.9, 141.9, 0.0
25, Eco4102, 10771, 9441.67, 386.3, 171.6, 0.0
25, Eco4133, 2167, 9723.51, 393.0, 180.9, 0.0
25, Eco4226, 50645, 9822.65, 450.6, 185.9, 0.0
25, Eco4441, 11394, 12060.54, 511.6, 227.1, 0.0
25, Eco5036, 518, 7308.31, 280.0, 124.7, 0.0
25, Eco5102, 1704, 10524.50, 434.7, 203.2, 0.0
25, Eco5133, 2095, 8883.93, 393.1, 155.8, 0.0
25, Eco5226, 79038, 9987.32, 451.4, 185.3, 0.0
25, Eco5441, 24346, 11104.80, 493.9, 216.1, 0.0
25, Eco6036, 416, 4357.31, 203.7, 81.5, 0.0
25, Eco6133, 718, 9707.24, 420.1, 169.3, 0.0
25, Eco6226, 14221, 9544.19, 436.1, 171.4, 0.0
25, Eco6441, 112, 9936.86, 452.7, 183.0, 0.0
25, Eco7133, 1393, 9356.82, 426.0, 173.3, 0.0
25, Eco7226, 46751, 8814.80, 409.8, 169.1, 0.0
