Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6930.87, 34.7, 186.3, 0.0
0, Eco1102, 62270, 6947.64, 64.3, 203.4, 0.0
0, Eco1133, 2042, 8261.80, 334.5, 208.4, 0.0
0, Eco1226, 20029, 8290.23, 163.8, 241.3, 0.0
0, Eco1441, 3597, 7605.77, 262.6, 232.9, 0.0
0, Eco2072, 474, 6243.07, 236.0, 181.0, 0.0
0, Eco2102, 25182, 6386.11, 111.9, 196.1, 0.0
0, Eco2133, 62492, 6846.92, 57.9, 185.0, 0.0
0, Eco2226, 140769, 7408.58, 33.7, 205.9, 0.0
0, Eco2441, 13252, 8208.23, 194.3, 231.9, 0.0
0, Eco3036, 4122, 5325.71, 180.7, 159.1, 0.0
0, Eco3072, 7998, 6115.20, 180.5, 187.3, 0.0
0, Eco3102, 2702, 6638.67, 243.8, 195.0, 0.0
0, Eco3226, 63089, 7880.21, 67.7, 228.3, 0.0
0, Eco3441, 12813, 9199.74, 192.6, 269.1, 0.0
0, Eco4036, 10187, 4408.54, 102.0, 143.0, 0.0
0, Eco4072, 8627, 6026.70, 164.7, 174.1, 0.0
0, Eco4102, 10771, 6720.69, 163.4, 190.6, 0.0
0, Eco4133, 2167, 7434.73, 253.5, 201.0, 0.0
0, Eco4226, 50645, 7371.05, 71.3, 210.8, 0.0
0, Eco4441, 11394, 8392.63, 195.4, 251.0, 0.0
0, Eco5036, 518, 5157.93, 180.4, 155.7, 0.0
0, Eco5102, 1704, 7213.45, 258.5, 217.3, 0.0
0, Eco5133, 2095, 6258.29, 228.9, 179.3, 0.0
0, Eco5226, 79038, 7406.32, 51.2, 203.6, 0.0
0, Eco5441, 24346, 8139.23, 130.7, 247.7, 0.0
0, Eco6036, 416, 4321.25, 139.9, 120.5, 0.0
0, Eco6133, 718, 6824.01, 246.0, 170.1, 0.0
0, Eco6226, 14221, 7174.70, 146.8, 193.4, 0.0
0, Eco6441, 112, 7713.83, 326.6, 178.2, 0.0
0, Eco7133, 1393, 6948.57, 245.0, 179.2, 0.0
0, Eco7226, 46751, 7420.04, 83.9, 212.8, 0.0
0, Eco7441, 8369, 8185.65, 236.1, 251.3, 0.0
5, Eco1072, 115584, 7987.40, 410.4, 183.3, 0.0
5, Eco1102, 62270, 8098.19, 427.1, 201.5, 0.0
5, Eco1133, 2042, 9466.46, 501.8, 205.8, 0.0
5, Eco1226, 20029, 9725.22, 524.4, 232.7, 0.0
5, Eco1441, 3597, 9121.05, 506.3, 253.3, 0.0
5, Eco2072, 474, 7023.49, 357.7, 142.2, 0.0
5, Eco2102, 25182, 7191.61, 339.2, 131.1, 0.0
5, Eco2133, 62492, 7732.97, 412.2, 151.5, 0.0
5, Eco2226, 140769, 8577.39, 457.7, 177.8, 0.0
5, Eco2441, 13252, 9487.07, 506.8, 215.4, 0.0
5, Eco3036, 4122, 6143.65, 316.1, 144.4, 0.0
5, Eco3072, 7998, 7077.72, 355.7, 152.6, 0.0
5, Eco3102, 2702, 7709.20, 402.6, 175.8, 0.0
5, Eco3226, 63089, 9179.26, 491.5, 210.2, 0.0
5, Eco3441, 12813, 10539.46, 562.9, 261.7, 0.0
5, Eco4036, 10187, 5009.51, 254.7, 102.4, 0.0
5, Eco4072, 8627, 6896.49, 352.1, 145.9, 0.0
5, Eco4102, 10771, 7678.58, 403.6, 170.0, 0.0
5, Eco4133, 2167, 8435.73, 439.6, 185.1, 0.0
