Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6910.56, 34.7, 187.3, 0.0
0, Eco1102, 62270, 6948.41, 64.3, 203.3, 0.0
0, Eco1133, 2042, 8212.60, 334.5, 211.8, 0.0
0, Eco1226, 20029, 8303.10, 163.8, 241.0, 0.0
0, Eco1441, 3597, 7534.35, 262.6, 236.8, 0.0
0, Eco2072, 474, 6507.21, 236.0, 165.8, 0.0
0, Eco2102, 25182, 6377.83, 111.9, 196.5, 0.0
0, Eco2133, 62492, 6807.48, 57.9, 187.1, 0.0
0, Eco2226, 140769, 7431.73, 33.7, 204.9, 0.0
0, Eco2441, 13252, 8219.41, 194.3, 231.2, 0.0
0, Eco3036, 4122, 5332.89, 180.7, 158.5, 0.0
0, Eco3072, 7998, 6113.31, 180.5, 186.9, 0.0
0, Eco3102, 2702, 6623.64, 243.8, 195.5, 0.0
0, Eco3226, 63089, 7880.82, 67.7, 228.1, 0.0
0, Eco3441, 12813, 9228.25, 192.6, 266.7, 0.0
0, Eco4036, 10187, 4413.44, 102.0, 142.9, 0.0
0, Eco4072, 8627, 6051.04, 164.7, 171.5, 0.0
0, Eco4102, 10771, 6706.16, 163.4, 192.2, 0.0
0, Eco4133, 2167, 7495.44, 253.5, 198.2, 0.0
0, Eco4226, 50645, 7349.23, 71.3, 212.5, 0.0
0, Eco4441, 11394, 8399.39, 195.4, 249.6, 0.0
0, Eco5036, 518, 5254.32, 180.4, 145.9, 0.0
0, Eco5102, 1704, 7201.11, 258.5, 216.5, 0.0
0, Eco5133, 2095, 6246.62, 228.9, 178.9, 0.0
0, Eco5226, 79038, 7363.94, 51.2, 205.6, 0.0
0, Eco5441, 24346, 8122.22, 130.7, 248.0, 0.0
0, Eco6036, 416, 4305.65, 139.9, 115.8, 0.0
0, Eco6133, 718, 6736.93, 246.0, 171.3, 0.0
0, Eco6226, 14221, 7222.74, 146.8, 191.7, 0.0
0, Eco6441, 112, 7713.83, 326.6, 178.2, 0.0
0, Eco7133, 1393, 6854.90, 245.0, 184.2, 0.0
0, Eco7226, 46751, 7422.99, 83.9, 212.8, 0.0
0, Eco7441, 8369, 8190.25, 236.1, 252.1, 0.0
5, Eco1072, 115584, 8247.20, 467.4, 207.4, 0.0
5, Eco1102, 62270, 8345.89, 468.0, 223.8, 0.0
5, Eco1133, 2042, 9665.31, 541.3, 233.4, 0.0
5, Eco1226, 20029, 9923.44, 534.2, 249.8, 0.0
5, Eco1441, 3597, 9086.34, 504.1, 256.6, 0.0
5, Eco2072, 474, 7519.58, 439.5, 170.8, 0.0
5, Eco2102, 25182, 7400.60, 390.5, 153.3, 0.0
5, Eco2133, 62492, 7892.82, 452.2, 173.3, 0.0
5, Eco2226, 140769, 8691.96, 462.8, 187.9, 0.0
5, Eco2441, 13252, 9541.86, 513.3, 222.4, 0.0
5, Eco3036, 4122, 6384.89, 368.5, 162.8, 0.0
5, Eco3072, 7998, 7352.75, 413.0, 174.9, 0.0
5, Eco3102, 2702, 7958.26, 455.1, 199.4, 0.0
5, Eco3226, 63089, 9369.73, 508.9, 230.3, 0.0
5, Eco3441, 12813, 10680.50, 579.8, 275.0, 0.0
5, Eco4036, 10187, 5216.33, 307.2, 119.1, 0.0
5, Eco4072, 8627, 7171.16, 413.3, 169.1, 0.0
5, Eco4102, 10771, 7907.50, 461.2, 195.3, 0.0
5, Eco4133, 2167, 8735.33, 494.3, 214.2, 0.0
5, Eco4226, 50645, 8665.74, 496.4, 203.2, 0.0
5, Eco4441, 11394, 9836.60, 541.9, 246.0, 0.0
5, Eco5036, 518, 6110.42, 350.5, 145.9, 0.0
5, Eco5102, 1704, 8483.29, 491.6, 225.3, 0.0
5, Eco5133, 2095, 7385.30, 428.1, 165.0, 0.0
5, Eco5226, 79038, 8596.32, 488.9, 198.1, 0.0
5, Eco5441, 24346, 9388.94, 525.1, 231.1, 0.0
5, Eco6036, 416, 5064.49, 318.9, 113.8, 0.0
5, Eco6133, 718, 7834.42, 446.7, 170.4, 0.0
5, Eco6226, 14221, 8459.79, 482.4, 186.5, 0.0
5, Eco6441, 112, 9048.83, 518.3, 209.0, 0.0
5, Eco7133, 1393, 8062.37, 488.0, 185.4, 0.0
5, Eco7226, 46751, 8714.50, 476.6, 197.1, 0.0
5, Eco7441, 8369, 9559.43, 512.9, 225.9, 0.0
10, Eco1072, 115584, 9171.45, 449.2, 200.2, 0.0
10, Eco1102, 62270, 9241.81, 450.9, 213.1, 0.0
10, Eco1133, 2042, 10460.07, 511.8, 221.0, 0.0
10, Eco1226, 20029, 10702.82, 498.7, 233.2, 0.0
10, Eco1441, 3597, 10035.00, 480.1, 244.7, 0.0
10, Eco2072, 474, 8101.14, 415.1, 165.8, 0.0
10, Eco2102, 25182, 7710.08, 380.8, 148.7, 0.0
10, Eco2133, 62492, 8249.77, 436.5, 166.6, 0.0
10, Eco2226, 140769, 8883.20, 434.8, 175.1, 0.0
10, Eco2441, 13252, 10222.34, 497.2, 214.0, 0.0
10, Eco3036, 4122, 6819.87, 331.3, 151.6, 0.0
10, Eco3072, 7998, 8162.44, 398.2, 169.1, 0.0
10, Eco3102, 2702, 8697.34, 429.7, 188.0, 0.0
10, Eco3226, 63089, 9884.45, 464.7, 211.3, 0.0
10, Eco3441, 12813, 11474.31, 538.6, 258.3, 0.0
10, Eco4036, 10187, 5416.61, 278.1, 113.3, 0.0
10, Eco4072, 8627, 7742.34, 381.4, 162.0, 0.0
10, Eco4102, 10771, 8819.37, 450.8, 193.6, 0.0
10, Eco4133, 2167, 9629.30, 481.6, 210.9, 0.0
10, Eco4226, 50645, 9189.38, 469.8, 192.4, 0.0
10, Eco4441, 11394, 10479.18, 508.5, 231.0, 0.0
10, Eco5036, 518, 6559.41, 311.2, 136.5, 0.0
10, Eco5102, 1704, 9255.32, 467.4, 218.0, 0.0
10, Eco5133, 2095, 8118.66, 430.5, 165.6, 0.0
10, Eco5226, 79038, 9128.33, 465.0, 188.0, 0.0
10, Eco5441, 24346, 9987.41, 500.0, 219.0, 0.0
10, Eco6036, 416, 5168.00, 279.3, 106.8, 0.0
10, Eco6133, 718, 8618.61, 452.3, 174.1, 0.0
10, Eco6226, 14221, 9064.67, 466.8, 179.7, 0.0
10, Eco6441, 112, 9559.60, 491.2, 200.2, 0.0
10, Eco7133, 1393, 8514.34, 459.0, 176.2, 0.0
10, Eco7226, 46751, 9092.32, 440.2, 182.0, 0.0
10, Eco7441, 8369, 10350.97, 490.9, 215.6, 0.0
15, Eco1072, 115584, 9685.09, 437.3, 186.5, 0.0
15, Eco1102, 62270, 9808.30, 439.5, 198.3, 0.0
15, Eco1133, 2042, 11046.85, 507.7, 210.6, 0.0
15, Eco1226, 20029, 11403.29, 516.4, 225.6, 0.0
15, Eco1441, 3597, 10796.43, 495.4, 238.1, 0.0
15, Eco2072, 474, 7617.32, 387.3, 149.6, 0.0
15, Eco2102, 25182, 8137.59, 390.9, 146.2, 0.0
15, Eco2133, 62492, 8533.28, 435.9, 160.7, 0.0
15, Eco2226, 140769, 8991.78, 426.9, 166.1, 0.0
15, Eco2441, 13252, 10662.06, 494.8, 207.8, 0.0
15, Eco3036, 4122, 6793.19, 316.7, 136.8, 0.0
15, Eco3072, 7998, 8669.32, 400.9, 162.2, 0.0
15, Eco3102, 2702, 9154.53, 423.8, 177.3, 0.0
15, Eco3226, 63089, 10297.07, 471.1, 200.6, 0.0
15, Eco3441, 12813, 11909.19, 551.3, 251.1, 0.0
15, Eco4036, 10187, 5687.23, 296.7, 111.7, 0.0
15, Eco4072, 8627, 8054.31, 385.0, 155.1, 0.0
15, Eco4102, 10771, 8947.08, 429.1, 179.3, 0.0
15, Eco4133, 2167, 9764.78, 451.1, 194.2, 0.0
15, Eco4226, 50645, 9290.60, 457.3, 180.7, 0.0
15, Eco4441, 11394, 10878.04, 513.5, 222.8, 0.0
15, Eco5036, 518, 6458.40, 303.6, 126.0, 0.0
15, Eco5102, 1704, 9927.00, 469.9, 208.0, 0.0
15, Eco5133, 2095, 8604.34, 427.8, 159.1, 0.0
15, Eco5226, 79038, 9409.14, 457.3, 178.5, 0.0
15, Eco5441, 24346, 10356.57, 502.5, 212.2, 0.0
15, Eco6036, 416, 5427.51, 292.8, 102.7, 0.0
15, Eco6133, 718, 9220.92, 447.4, 167.3, 0.0
15, Eco6226, 14221, 9525.68, 461.8, 172.8, 0.0
15, Eco6441, 112, 10342.73, 508.4, 199.8, 0.0
15, Eco7133, 1393, 8623.90, 446.1, 166.0, 0.0
15, Eco7226, 46751, 9098.96, 431.0, 170.6, 0.0
15, Eco7441, 8369, 10741.33, 493.0, 210.1, 0.0
20, Eco1072, 115584, 9708.54, 213.7, 129.4, 0.0
20, Eco1102, 62270, 9915.50, 239.6, 143.1, 0.0
20, Eco1133, 2042, 10275.09, 237.0, 139.4, 0.0
20, Eco1226, 20029, 11599.53, 334.8, 179.0, 0.0
20, Eco1441, 3597, 11479.95, 440.6, 212.5, 0.0
20, Eco2072, 474, 7633.95, 221.2, 109.4, 0.0
20, Eco2102, 25182, 8090.50, 235.5, 110.6, 0.0
20, Eco2133, 62492, 8547.77, 274.0, 122.9, 0.0
20, Eco2226, 140769, 9129.15, 332.7, 143.3, 0.0
20, Eco2441, 13252, 10858.65, 442.0, 186.2, 0.0
20, Eco3036, 4122, 6761.10, 158.4, 95.9, 0.0
20, Eco3072, 7998, 8634.14, 191.3, 110.3, 0.0
20, Eco3102, 2702, 9185.86, 219.0, 122.8, 0.0
20, Eco3226, 63089, 10322.21, 300.4, 153.7, 0.0
20, Eco3441, 12813, 12388.18, 473.5, 214.5, 0.0
20, Eco4036, 10187, 5452.24, 145.5, 77.7, 0.0
20, Eco4072, 8627, 8030.42, 168.0, 98.5, 0.0
20, Eco4102, 10771, 8762.88, 195.7, 115.6, 0.0
20, Eco4133, 2167, 9540.48, 218.1, 128.3, 0.0
20, Eco4226, 50645, 9183.66, 294.0, 136.6, 0.0
20, Eco4441, 11394, 11021.02, 343.5, 169.0, 0.0
20, Eco5036, 518, 6350.99, 130.0, 80.4, 0.0
20, Eco5102, 1704, 9797.20, 200.0, 130.6, 0.0
20, Eco5133, 2095, 8305.50, 225.4, 109.7, 0.0
20, Eco5226, 79038, 9270.05, 291.8, 134.1, 0.0
20, Eco5441, 24346, 10506.96, 374.8, 171.1, 0.0
20, Eco6036, 416, 5434.56, 142.9, 71.0, 0.0
20, Eco6133, 718, 8940.71, 224.8, 112.9, 0.0
20, Eco6226, 14221, 8966.23, 296.9, 129.5, 0.0
20, Eco6441, 112, 10146.79, 372.7, 158.0, 0.0
20, Eco7133, 1393, 8581.81, 257.9, 120.5, 0.0
20, Eco7226, 46751, 8629.88, 295.7, 133.0, 0.0
20, Eco7441, 8369, 10674.80, 424.2, 181.0, 0.0
25, Eco1072, 115584, 9989.90, 315.9, 147.3, 0.0
25, Eco1102, 62270, 10285.43, 342.0, 165.0, 0.0
25, Eco1133, 2042, 8982.40, 312.7, 150.3, 0.0
