Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6777.49, 34.7, 196.9, 0.0
0, Eco1102, 62270, 6743.09, 64.3, 216.7, 0.0
0, Eco1133, 2042, 7758.72, 334.5, 247.9, 0.0
0, Eco1226, 20029, 7859.23, 163.8, 270.8, 0.0
0, Eco1441, 3597, 6929.01, 262.6, 285.9, 0.0
0, Eco2072, 474, 5575.83, 236.0, 226.4, 0.0
0, Eco2102, 25182, 6162.20, 111.9, 211.0, 0.0
0, Eco2133, 62492, 6676.98, 57.9, 194.7, 0.0
0, Eco2226, 140769, 6990.47, 33.7, 230.3, 0.0
0, Eco2441, 13252, 7760.25, 194.3, 262.1, 0.0
0, Eco3036, 4122, 5087.67, 180.7, 181.4, 0.0
0, Eco3072, 7998, 5926.87, 180.5, 203.1, 0.0
0, Eco3102, 2702, 6488.69, 243.8, 206.8, 0.0
0, Eco3226, 63089, 7564.21, 67.7, 249.0, 0.0
0, Eco3441, 12813, 8659.20, 192.6, 310.1, 0.0
0, Eco4036, 10187, 4260.03, 102.0, 152.4, 0.0
0, Eco4072, 8627, 6036.74, 164.7, 172.1, 0.0
0, Eco4102, 10771, 6536.52, 163.4, 204.4, 0.0
0, Eco4133, 2167, 7424.34, 253.5, 203.5, 0.0
0, Eco4226, 50645, 7264.99, 71.3, 217.6, 0.0
0, Eco4441, 11394, 8240.80, 195.4, 263.2, 0.0
0, Eco5036, 518, 5265.19, 180.4, 137.6, 0.0
0, Eco5102, 1704, 7137.07, 258.5, 223.0, 0.0
0, Eco5133, 2095, 6075.96, 228.9, 192.0, 0.0
0, Eco5226, 79038, 7260.90, 51.2, 211.6, 0.0
0, Eco5441, 24346, 8002.27, 130.7, 257.3, 0.0
0, Eco6036, 416, 4250.59, 139.9, 120.1, 0.0
0, Eco6133, 718, 6800.21, 246.0, 171.8, 0.0
0, Eco6226, 14221, 7068.30, 146.8, 200.1, 0.0
0, Eco6441, 112, 7433.19, 326.6, 186.3, 0.0
0, Eco7133, 1393, 6852.95, 245.0, 182.4, 0.0
0, Eco7226, 46751, 7160.40, 83.9, 229.3, 0.0
0, Eco7441, 8369, 7813.02, 236.1, 278.0, 0.0
5, Eco1072, 115584, 8090.66, 458.3, 198.2, 0.0
5, Eco1102, 62270, 8072.40, 443.7, 199.1, 0.0
5, Eco1133, 2042, 9348.49, 540.6, 225.8, 0.0
5, Eco1226, 20029, 9534.55, 525.7, 239.0, 0.0
5, Eco1441, 3597, 8530.69, 466.1, 229.2, 0.0
5, Eco2072, 474, 7108.91, 428.4, 171.8, 0.0
5, Eco2102, 25182, 7538.34, 405.0, 158.6, 0.0
5, Eco2133, 62492, 7936.92, 473.6, 179.5, 0.0
5, Eco2226, 140769, 8532.81, 468.5, 187.6, 0.0
5, Eco2441, 13252, 9313.36, 516.0, 221.3, 0.0
5, Eco3036, 4122, 6125.45, 354.9, 158.1, 0.0
5, Eco3072, 7998, 7150.10, 405.5, 172.7, 0.0
5, Eco3102, 2702, 7789.76, 448.5, 192.5, 0.0
5, Eco3226, 63089, 9077.21, 500.9, 223.1, 0.0
5, Eco3441, 12813, 10217.30, 565.9, 268.4, 0.0
5, Eco4036, 10187, 5106.42, 294.5, 117.9, 0.0
5, Eco4072, 8627, 7082.83, 411.0, 171.8, 0.0
5, Eco4102, 10771, 7748.90, 456.3, 194.8, 0.0
5, Eco4133, 2167, 8625.21, 500.9, 215.4, 0.0
5, Eco4226, 50645, 8564.82, 504.4, 205.1, 0.0
5, Eco4441, 11394, 9638.36, 548.4, 247.0, 0.0
5, Eco5036, 518, 6071.53, 351.3, 150.1, 0.0
5, Eco5102, 1704, 8338.44, 493.0, 228.3, 0.0
5, Eco5133, 2095, 7254.73, 434.2, 170.3, 0.0
5, Eco5226, 79038, 8451.12, 491.5, 199.1, 0.0
5, Eco5441, 24346, 9190.30, 523.6, 230.8, 0.0
5, Eco6036, 416, 5011.69, 315.1, 117.3, 0.0
5, Eco6133, 718, 7927.59, 467.7, 180.6, 0.0
5, Eco6226, 14221, 8354.30, 494.3, 189.7, 0.0
5, Eco6441, 112, 8905.68, 538.7, 215.5, 0.0
5, Eco7133, 1393, 8113.99, 513.5, 194.0, 0.0
5, Eco7226, 46751, 8556.71, 482.8, 197.2, 0.0
5, Eco7441, 8369, 9323.58, 516.0, 226.0, 0.0
10, Eco1072, 115584, 8827.65, 445.9, 194.5, 0.0
10, Eco1102, 62270, 8844.70, 430.8, 194.9, 0.0
10, Eco1133, 2042, 9771.69, 488.0, 212.0, 0.0
10, Eco1226, 20029, 10184.72, 497.3, 225.5, 0.0
10, Eco1441, 3597, 9302.75, 451.5, 217.6, 0.0
10, Eco2072, 474, 8133.86, 436.1, 168.4, 0.0
10, Eco2102, 25182, 7924.54, 385.8, 148.2, 0.0
10, Eco2133, 62492, 8250.10, 446.1, 168.3, 0.0
10, Eco2226, 140769, 8911.12, 441.5, 177.2, 0.0
10, Eco2441, 13252, 9730.90, 484.3, 208.3, 0.0
10, Eco3036, 4122, 6598.99, 339.6, 149.5, 0.0
10, Eco3072, 7998, 7688.94, 391.3, 164.4, 0.0
10, Eco3102, 2702, 7990.72, 405.9, 176.8, 0.0
10, Eco3226, 63089, 9251.10, 454.7, 202.0, 0.0
10, Eco3441, 12813, 10786.90, 532.5, 250.0, 0.0
10, Eco4036, 10187, 5499.46, 293.4, 113.6, 0.0
10, Eco4072, 8627, 7531.48, 388.1, 159.0, 0.0
10, Eco4102, 10771, 8349.25, 432.1, 182.1, 0.0
10, Eco4133, 2167, 9282.54, 470.1, 202.7, 0.0
10, Eco4226, 50645, 8890.74, 465.5, 186.6, 0.0
10, Eco4441, 11394, 10197.51, 512.7, 228.2, 0.0
10, Eco5036, 518, 6703.32, 342.3, 141.2, 0.0
10, Eco5102, 1704, 9275.85, 485.0, 216.4, 0.0
10, Eco5133, 2095, 7918.33, 431.0, 161.7, 0.0
