Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6811.74, 34.7, 195.4, 0.0
0, Eco1102, 62270, 6773.89, 64.3, 215.5, 0.0
0, Eco1133, 2042, 7672.28, 334.5, 255.6, 0.0
0, Eco1226, 20029, 7940.52, 163.8, 267.0, 0.0
0, Eco1441, 3597, 7166.38, 262.6, 273.7, 0.0
0, Eco2072, 474, 5412.68, 236.0, 245.3, 0.0
0, Eco2102, 25182, 6146.27, 111.9, 211.8, 0.0
0, Eco2133, 62492, 6668.54, 57.9, 195.4, 0.0
0, Eco2226, 140769, 6990.96, 33.7, 230.3, 0.0
0, Eco2441, 13252, 7753.70, 194.3, 262.9, 0.0
0, Eco3036, 4122, 5050.02, 180.7, 184.3, 0.0
0, Eco3072, 7998, 5930.88, 180.5, 202.3, 0.0
0, Eco3102, 2702, 6545.43, 243.8, 201.7, 0.0
0, Eco3226, 63089, 7555.20, 67.7, 249.6, 0.0
0, Eco3441, 12813, 8713.09, 192.6, 306.1, 0.0
0, Eco4036, 10187, 4261.71, 102.0, 152.6, 0.0
0, Eco4072, 8627, 6001.92, 164.7, 175.5, 0.0
0, Eco4102, 10771, 6549.12, 163.4, 203.7, 0.0
0, Eco4133, 2167, 7392.99, 253.5, 203.9, 0.0
0, Eco4226, 50645, 7223.52, 71.3, 220.1, 0.0
0, Eco4441, 11394, 8252.44, 195.4, 260.9, 0.0
0, Eco5036, 518, 5274.49, 180.4, 138.7, 0.0
0, Eco5102, 1704, 7126.55, 258.5, 222.9, 0.0
0, Eco5133, 2095, 6092.84, 228.9, 192.1, 0.0
0, Eco5226, 79038, 7250.79, 51.2, 212.3, 0.0
0, Eco5441, 24346, 7988.01, 130.7, 257.6, 0.0
0, Eco6036, 416, 4320.02, 139.9, 118.3, 0.0
0, Eco6133, 718, 6710.88, 246.0, 172.1, 0.0
0, Eco6226, 14221, 7079.93, 146.8, 199.6, 0.0
0, Eco6441, 112, 7713.83, 326.6, 178.2, 0.0
0, Eco7133, 1393, 6902.50, 245.0, 179.5, 0.0
0, Eco7226, 46751, 7133.36, 83.9, 230.6, 0.0
0, Eco7441, 8369, 7824.21, 236.1, 278.1, 0.0
5, Eco1072, 115584, 7903.54, 406.1, 182.2, 0.0
5, Eco1102, 62270, 7972.61, 420.2, 199.5, 0.0
5, Eco1133, 2042, 9036.59, 477.2, 199.7, 0.0
5, Eco1226, 20029, 9506.68, 509.1, 228.4, 0.0
5, Eco1441, 3597, 8864.53, 487.4, 247.7, 0.0
5, Eco2072, 474, 6510.27, 343.7, 141.4, 0.0
5, Eco2102, 25182, 7144.53, 332.9, 129.9, 0.0
5, Eco2133, 62492, 7628.26, 404.6, 149.5, 0.0
5, Eco2226, 140769, 8390.64, 441.4, 173.5, 0.0
5, Eco2441, 13252, 9236.77, 486.8, 209.3, 0.0
5, Eco3036, 4122, 5911.30, 304.6, 141.1, 0.0
5, Eco3072, 7998, 6929.76, 350.1, 151.4, 0.0
5, Eco3102, 2702, 7646.11, 400.3, 175.3, 0.0
5, Eco3226, 63089, 8976.97, 477.4, 206.0, 0.0
5, Eco3441, 12813, 10213.91, 541.2, 254.6, 0.0
5, Eco4036, 10187, 4933.89, 250.3, 101.4, 0.0
5, Eco4072, 8627, 6868.54, 350.5, 145.4, 0.0
5, Eco4102, 10771, 7562.38, 395.5, 167.6, 0.0
5, Eco4133, 2167, 8372.74, 436.0, 183.6, 0.0
5, Eco4226, 50645, 8399.98, 457.2, 174.7, 0.0
5, Eco4441, 11394, 9557.42, 491.5, 207.7, 0.0
5, Eco5036, 518, 5885.26, 279.6, 119.3, 0.0
5, Eco5102, 1704, 8108.26, 416.7, 187.9, 0.0
5, Eco5133, 2095, 6972.29, 359.4, 134.9, 0.0
5, Eco5226, 79038, 8274.10, 440.8, 164.5, 0.0
5, Eco5441, 24346, 9123.96, 472.9, 194.5, 0.0
