Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, Eco1072, 115584, 6785.53, 34.7, 196.7, 0.0
0, Eco1102, 62270, 6764.19, 64.3, 216.2, 0.0
0, Eco1133, 2042, 7724.08, 334.5, 249.5, 0.0
0, Eco1226, 20029, 7974.10, 163.8, 265.6, 0.0
0, Eco1441, 3597, 7122.40, 262.6, 276.4, 0.0
0, Eco2072, 474, 5311.25, 236.0, 242.0, 0.0
0, Eco2102, 25182, 6118.34, 111.9, 213.2, 0.0
0, Eco2133, 62492, 6668.84, 57.9, 195.4, 0.0
0, Eco2226, 140769, 7002.73, 33.7, 229.8, 0.0
0, Eco2441, 13252, 7774.03, 194.3, 260.9, 0.0
0, Eco3036, 4122, 5133.73, 180.7, 179.7, 0.0
0, Eco3072, 7998, 5915.28, 180.5, 204.3, 0.0
0, Eco3102, 2702, 6518.39, 243.8, 204.8, 0.0
0, Eco3226, 63089, 7556.38, 67.7, 249.6, 0.0
0, Eco3441, 12813, 8670.77, 192.6, 309.3, 0.0
0, Eco4036, 10187, 4294.34, 102.0, 150.3, 0.0
0, Eco4072, 8627, 5985.92, 164.7, 176.4, 0.0
0, Eco4102, 10771, 6561.15, 163.4, 202.4, 0.0
0, Eco4133, 2167, 7458.20, 253.5, 202.5, 0.0
0, Eco4226, 50645, 7250.85, 71.3, 218.9, 0.0
0, Eco4441, 11394, 8301.18, 195.4, 258.7, 0.0
0, Eco5036, 518, 5178.81, 180.4, 145.9, 0.0
0, Eco5102, 1704, 7124.40, 258.5, 224.2, 0.0
0, Eco5133, 2095, 6136.59, 228.9, 185.9, 0.0
0, Eco5226, 79038, 7264.93, 51.2, 211.6, 0.0
0, Eco5441, 24346, 7990.14, 130.7, 257.4, 0.0
0, Eco6036, 416, 4323.92, 139.9, 120.5, 0.0
0, Eco6133, 718, 6700.34, 246.0, 176.2, 0.0
0, Eco6226, 14221, 7022.50, 146.8, 202.1, 0.0
0, Eco6441, 112, 7644.73, 326.6, 179.9, 0.0
0, Eco7133, 1393, 6854.90, 245.0, 184.2, 0.0
0, Eco7226, 46751, 7140.82, 83.9, 230.8, 0.0
0, Eco7441, 8369, 7833.43, 236.1, 278.2, 0.0
5, Eco1072, 115584, 8172.29, 461.9, 205.8, 0.0
5, Eco1102, 62270, 8221.99, 459.6, 221.2, 0.0
5, Eco1133, 2042, 9382.26, 521.4, 228.2, 0.0
5, Eco1226, 20029, 9723.10, 520.5, 245.7, 0.0
5, Eco1441, 3597, 8868.55, 489.8, 253.6, 0.0
5, Eco2072, 474, 6738.46, 396.5, 160.4, 0.0
5, Eco2102, 25182, 7405.76, 381.7, 151.2, 0.0
5, Eco2133, 62492, 7841.31, 446.1, 171.5, 0.0
5, Eco2226, 140769, 8483.12, 445.6, 182.8, 0.0
5, Eco2441, 13252, 9299.51, 492.8, 215.7, 0.0
5, Eco3036, 4122, 6224.88, 359.2, 160.1, 0.0
5, Eco3072, 7998, 7220.04, 405.1, 172.7, 0.0
5, Eco3102, 2702, 7882.54, 449.7, 197.7, 0.0
5, Eco3226, 63089, 9159.36, 494.4, 225.5, 0.0
5, Eco3441, 12813, 10269.99, 554.8, 266.5, 0.0
5, Eco4036, 10187, 5204.84, 302.9, 118.1, 0.0
5, Eco4072, 8627, 7106.49, 408.9, 167.7, 0.0
5, Eco4102, 10771, 7835.68, 454.2, 193.2, 0.0
5, Eco4133, 2167, 8707.58, 494.2, 214.5, 0.0
5, Eco4226, 50645, 8634.77, 493.8, 202.6, 0.0
5, Eco4441, 11394, 9806.60, 538.3, 244.9, 0.0
5, Eco5036, 518, 6061.39, 346.1, 144.1, 0.0
5, Eco5102, 1704, 8420.91, 489.2, 224.7, 0.0
5, Eco5133, 2095, 7328.92, 426.9, 165.0, 0.0
5, Eco5226, 79038, 8552.49, 485.1, 197.0, 0.0
5, Eco5441, 24346, 9310.38, 518.6, 229.0, 0.0
5, Eco6036, 416, 5091.95, 321.3, 114.5, 0.0
5, Eco6133, 718, 7835.63, 444.8, 169.7, 0.0
5, Eco6226, 14221, 8345.66, 473.8, 184.0, 0.0
5, Eco6441, 112, 9057.01, 520.3, 210.2, 0.0
5, Eco7133, 1393, 8068.90, 488.0, 185.4, 0.0
5, Eco7226, 46751, 8532.46, 464.1, 193.2, 0.0
5, Eco7441, 8369, 9320.90, 497.6, 221.1, 0.0
10, Eco1072, 115584, 8972.97, 440.5, 197.4, 0.0
10, Eco1102, 62270, 8934.94, 435.7, 207.5, 0.0
10, Eco1133, 2042, 9684.24, 470.7, 207.5, 0.0
